Date,Open,High,Low,Close,Adj Close,Volume,12,26,MACD
2018-03-22,8939.4404296875,9100.7099609375,8564.900390625,8728.4697265625,8728.4697265625,5530390016,8848.211732060876,9284.069910956385,-435.8581788955089
2018-03-23,8736.25,8879.6201171875,8360.6201171875,8879.6201171875,8879.6201171875,5954120192,8853.043796743354,9254.056144877459,-401.0123481341052
2018-03-24,8901.9501953125,8996.1796875,8665.7001953125,8668.1201171875,8668.1201171875,5664600064,8824.593972825714,9210.580349484033,-385.9863766583185
2018-03-25,8612.8095703125,8682.009765625,8449.099609375,8495.7802734375,8495.7802734375,4569880064,8774.007209125435,9157.549604790212,-383.54239566477736
2018-03-26,8498.4697265625,8530.080078125,7921.43017578125,8209.400390625,8209.400390625,5921039872,8687.144562504076,9087.214903402191,-400.0703408981153
2018-03-27,8200.0,8232.7802734375,7797.27978515625,7833.0400390625,7833.0400390625,5378250240,8555.743790864768,8994.188850151437,-438.44505928666877
2018-03-28,7836.830078125,8122.89013671875,7809.169921875,7954.47998046875,7954.47998046875,4935289856,8463.241621081464,8917.078044169491,-453.836423088027
2018-03-29,7979.06982421875,7994.330078125,7081.3798828125,7165.7001953125,7165.7001953125,6361229824,8263.619780904593,8787.19767149353,-523.5778905889365
2018-03-30,7171.4501953125,7276.66015625,6683.93017578125,6890.52001953125,6890.52001953125,6289509888,8052.373590017263,8646.55395516903,-594.1803651517675
2018-03-31,6892.47998046875,7207.85009765625,6863.52001953125,6973.52978515625,6973.52978515625,4553269760,7886.397571006003,8522.504492256965,-636.1069212509619
2018-04-01,7003.06005859375,7060.9501953125,6526.8701171875,6844.22998046875,6844.22998046875,4532100096,7726.064055460036,8398.074787867545,-672.0107324075088
2018-04-02,6844.85986328125,7135.47021484375,6816.580078125,7083.7998046875,7083.7998046875,4333440000,7627.254149826145,8300.6391007597,-673.3849509335541
2018-04-03,7102.259765625,7530.93994140625,7072.490234375,7456.10986328125,7456.10986328125,5499700224,7600.924254876124,8238.03260301942,-637.1083481432952
2018-04-04,7456.41015625,7469.8798828125,6803.8798828125,6853.83984375,6853.83984375,4936000000,7485.988174220163,8135.425787039589,-649.4376128194253
2018-04-05,6848.64990234375,6933.81982421875,6644.7998046875,6811.47021484375,6811.47021484375,5639320064,7382.216167172543,8037.289453859718,-655.0732866871758
2018-04-06,6815.9599609375,6857.490234375,6575.0,6636.31982421875,6636.31982421875,3766810112,7267.462871198877,7933.449703844495,-665.986832645618
2018-04-07,6630.509765625,7050.5400390625,6630.509765625,6911.08984375,6911.08984375,3976610048,7212.636246561256,7857.675951353414,-645.0397047921588
2018-04-08,6919.97998046875,7111.56005859375,6919.97998046875,7023.52001953125,7023.52001953125,3652499968,7183.541440144138,7795.853842554909,-612.312402410771
2018-04-09,7044.31982421875,7178.10986328125,6661.990234375,6770.72998046875,6770.72998046875,4894060032,7120.031980637674,7719.881442069835,-599.8494614321617
2018-04-10,6795.43994140625,6872.41015625,6704.14990234375,6834.759765625,6834.759765625,4272750080,7076.143945119422,7654.287054577676,-578.143109458254
2018-04-11,6843.47021484375,6968.31982421875,6817.58984375,6968.31982421875,6968.31982421875,4641889792,7059.5556180468475,7603.453270131256,-543.897652084409
2018-04-12,6955.3798828125,7899.22998046875,6806.509765625,7889.25,7889.25,8906250240,7187.200912657786,7624.631652369618,-437.43073971183185
2018-04-13,7901.08984375,8183.9599609375,7758.93017578125,7895.9599609375,7895.9599609375,7764460032,7296.240769910975,7644.737301162531,-348.496531251556
2018-04-14,7874.669921875,8140.7099609375,7846.0,7986.240234375,7986.240234375,5191430144,7402.394536699258,7670.042270154876,-267.6477334556175
2018-04-15,7999.330078125,8338.419921875,7999.330078125,8329.1103515625,8329.1103515625,5244480000,7544.966203961639,7718.87723706651,-173.91103310487142
2018-04-16,8337.5703125,8371.150390625,7925.72998046875,8058.669921875,8058.669921875,5631309824,7623.9975467913155,7744.05427808379,-120.05673129247498
